list-dls,12,16,576,382893,664.744792
list-is,2,32,192,126079,656.661458
list-is,4,32,384,186437,485.513021
list-is,8,32,768,250293,325.902344
list-is,12,32,1152,591133,513.136285
list-ds,2,32,192,198267,1032.640625
list-ds,4,32,384,162214,422.432292
list-ds,8,32,768,473851,616.993490
list-ds,12,32,1152,546155,474.092882
list-ils,2,32,192,131740,686.145833
list-ils,4,32,384,194612,506.802083
list-ils,8,32,768,367593,478.636719
list-ils,12,32,1152,576968,500.840278
list-dls,2,32,192,148570,773.802083
list-dls,4,32,384,245811,640.132812
list-dls,8,32,768,385574,502.049479
list-dls,12,32,1152,696484,604.586806
list-none-s,1,1000,3000,3523394,1174.464667
list-none-m,1,1000,3000,4617062,1539.020667
list-none-s,2,1000,6000,7126601,1187.766833
list-none-m,2,1000,6000,9151100,1525.183333
list-none-s,4,1,12,159677,13306.416667
list-none-m,4,1,12,119615,9967.916667
list-none-s,8,1,24,207962,8665.083333
list-none-m,8,1,24,254478,10603.250000
list-none-s,12,1,36,367742,10215.055556
list-none-m,12,1,36,346113,9614.250000
list-none-s,16,1,48,405013,8437.770833
list-none-m,16,1,48,409497,8531.187500
list-none-s,24,1,72,620422,8616.972222
list-none-m,24,1,72,627133,8710.180556
list-none-none,1,10,30,93023,3100.766667
list-none-none,1,100,300,136331,454.436667
list-none-none,1,1000,3000,3618078,1206.026000
list-none-none,1,10000,30000,424573147,14152.438233
list-none-none,1,20000,60000,1727755004,28795.916733
list-none-none,2,1,6,119025,19837.500000
list-none-none,2,10,60,143300,2388.333333
list-none-none,4,1,12,178797,14899.750000
list-none-none,4,10,120,128485,1070.708333
list-none-none,8,1,24,228986,9541.083333
list-none-none,12,1,36,406585,11294.027778
list-inone,2,1,6,111664,18610.666667
list-inone,4,1,12,143238,11936.500000
list-inone,8,1,24,223788,9324.500000
list-inone,12,1,36,304534,8459.277778
list-dnone,2,1,6,109569,18261.500000
list-dnone,4,1,12,171554,14296.166667
list-dnone,8,1,24,208360,8681.666667
list-dnone,12,1,36,303356,8426.555556
list-ilnone,2,1,6,106218,17703.000000
list-ilnone,4,1,12,143314,11942.833333
list-ilnone,8,1,24,234449,9768.708333
list-ilnone,12,1,36,341300,9480.555556
list-dlnone,2,1,6,69751,11625.166667
list-dlnone,4,1,12,174152,14512.666667
list-dlnone,8,1,24,257605,10733.541667
list-inone,2,2,12,100995,8416.250000
list-inone,4,2,24,166505,6937.708333
list-inone,8,2,48,268277,5589.104167
list-inone,12,2,72,333196,4627.722222
list-dnone,2,2,12,184931,15410.916667
list-dnone,8,2,48,267752,5578.166667
list-dnone,12,2,72,317252,4406.277778
list-ilnone,2,2,12,78577,6548.083333
list-ilnone,4,2,24,175180,7299.166667
list-ilnone,8,2,48,221459,4613.729167
list-ilnone,12,2,72,326607,4536.208333
list-dlnone,2,2,12,93478,7789.833333
list-dlnone,4,2,24,172569,7190.375000
list-inone,8,4,96,229820,2393.958333
list-dnone,2,4,24,95493,3978.875000
list-dnone,8,4,96,227130,2365.937500
list-dnone,12,4,144,306407,2127.826389
list-ilnone,2,4,24,112803,4700.125000
list-ilnone,4,4,48,177126,3690.125000
list-ilnone,12,4,144,363605,2525.034722
list-dlnone,2,4,24,71225,2967.708333
list-dlnone,4,4,48,167908,3498.083333
list-dlnone,12,4,144,336258,2335.125000
list-inone,2,8,48,119169,2482.687500
list-inone,4,8,96,179721,1872.093750
list-inone,8,8,192,194573,1013.401042
list-inone,12,8,288,298469,1036.350694
list-dnone,2,8,48,115259,2401.229167
list-dnone,4,8,96,177675,1850.781250
list-ilnone,2,8,48,82901,1727.104167
list-ilnone,4,8,96,137389,1431.135417
list-ilnone,12,8,288,359050,1246.701389
list-dlnone,2,8,48,117355,2444.895833
list-dlnone,4,8,96,108037,1125.385417
list-dlnone,8,8,192,220780,1149.895833
list-dnone,2,16,96,118901,1238.552083
list-dnone,8,16,384,202540,527.447917
list-ilnone,2,16,96,112183,1168.572917
list-inone,2,32,192,89852,467.979167
list-dnone,2,32,192,146993,765.588542
list-dnone,4,32,384,190535,496.184896
list-ilnone,2,32,192,135293,704.651042
list-im,2,1,6,112116,18686.000000
list-im,4,1,12,157233,13102.750000
list-im,8,1,24,217378,9057.416667
list-im,12,1,36,350701,9741.694444
list-dm,2,1,6,71981,11996.833333
list-dm,4,1,12,179919,14993.250000
list-dm,8,1,24,259099,10795.791667
list-dm,12,1,36,360051,10001.416667
list-ilm,2,1,6,72183,12030.500000
list-ilm,4,1,12,108162,9013.500000
list-ilm,8,1,24,202453,8435.541667
list-ilm,12,1,36,312581,8682.805556
list-dlm,2,1,6,113717,18952.833333
list-dlm,4,1,12,172775,14397.916667
list-dlm,8,1,24,206718,8613.250000
list-dlm,12,1,36,327697,9102.694444
list-im,2,2,12,98172,8181.000000
list-im,4,2,24,172836,7201.500000
list-im,8,2,48,196892,4101.916667
list-im,12,2,72,346326,4810.083333
list-dm,2,2,12,77256,6438.000000
list-dm,4,2,24,160326,6680.250000
list-dm,8,2,48,249932,5206.916667
list-dm,12,2,72,326618,4536.361111
list-ilm,2,2,12,110670,9222.500000
list-ilm,4,2,24,159513,6646.375000
list-ilm,8,2,48,236999,4937.479167
list-ilm,12,2,72,282265,3920.347222
list-dlm,2,2,12,107283,8940.250000
list-dlm,4,2,24,166905,6954.375000
list-dlm,8,2,48,234433,4884.020833
list-dlm,12,2,72,282399,3922.208333
list-im,2,4,24,92347,3847.791667
list-im,4,4,48,165285,3443.437500
list-im,8,4,96,206177,2147.677083
list-im,12,4,144,383088,2660.333333
list-dm,2,4,24,118425,4934.375000
list-dm,4,4,48,159269,3318.104167
